frame, px, py, pz, qa, qx, qy, qz
0, 0.0, 5.0, 13.0, 0.0, 0.0, 1.0, 0.0
500, -10, 3.5, -1.0, -45.0, 0.0, 1.0, 0.0
1000, 10, 3.5, 1.0, 45.0, 0.0, 1.0, 0.0
1500, 0, 3.5, 1.0, 0.0, 0.0, 1.0, 0.0
2000, 0, 0.0, -33.0, 0.0, 0.0, 1.0, 0.0
2500, 0, 0.0, -33.0, 180.0, 0.0, 1.0, 0.0
3000, 0.0, 5.0, 13.0, 0.0, 0.0, 1.0, 0.0
