frame, px, py, pz, qa, qx, qy, qz
0, -21.0, 7.0, -1.0, -80.0, 0.0, 1.0, 0.0
1000, 18.0, 4.0, -50.0, -45.0, 0.0, 1.0, 0.0
1500, 18.0, 4.0, -50.0, 180.0, 0.0, 1.0, 0.0
2500, -13.0, 3.0, 4.0, 45.0, 0.0, 1.0, 0.0
3000, -13.0, 3.0, 4.0, -120.0, 0.0, 1.0, 0.0
4000, 42.0, 4.5, 30.0, -90.0, 0.0, 1.0, 0.0
4500, 42.0, 4.5, 30.0, 60.0, 0.0, 1.0, 0.0
5500, -21.0, 7.0, -1.0, -80.0, 0.0, 1.0, 0.0
